title,company,location,city,date,link,description
Data Engineer,BOX8,"Bengaluru, Karnataka, India",Bengaluru,2025-05-30,https://in.linkedin.com/jobs/view/data-engineer-at-box8-4240914373?position=1&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=MU74IoIjcm3CQ%2BB6kXYDWw%3D%3D,"We are looking for a passionate and curious Data Engineer (Entry-Level) to join our DataTech team. This is an excellent opportunity for fresh graduates or early-career professionals to build a strong foundation in data engineering by working on real-world data problems, building robust pipelines, and collaborating across teams.

Responsibilities


Assist in developing scalable and optimized data pipelines for extraction, transformation, and loading (ETL).
Write clean and efficient Python scripts and SQL queries for data processing and analysis.
Work on integrating multiple data sources (databases, APIs, flat files, etc. )
Support team members in ensuring data quality, accuracy, and consistency.
Collaborate with analysts, data scientists, and engineers to deliver data solutions.
Contribute to automation initiatives and help build internal data tools.
Participate in code reviews, documentation, and team meetings to learn best practices in software and data engineering.
Assist in building computer vision or different AI models.


Requirements


B. E. /B. Tech in Computer Science, Information Technology, or related field (Tier I college background is a plus).
Strong foundation in: Python (Pandas, NumPy, basic scripting), SQL (writing basic to intermediate queries).
Exposure to: Git and Linux Shell Scripting, Data visualization tools or dashboards (e. g., Tableau, Power BI - optional).
Bonus if you've explored tools like Airflow, BigQuery, AWS S3/Redshift, or Firebase.
Built projects or done internships related to data engineering, analytics, or backend systems.
Strong logical thinking, curiosity to learn, and willingness to dive into data problems.


This job was posted by Payal Verma from Box8.
Show more "
Data Engineer II [T500-19642],McDonald's,"Hyderabad, Telangana, India",Hyderabad,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19642-at-mcdonald-s-4282147859?position=2&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=3aA8DZG%2FFl989AGH1TXwmA%3D%3D,"About McDonald’s:

One of the world’s largest employers with locations in more than 100 countries, McDonald’s Corporation has corporate opportunities in Hyderabad. Our global offices serve as dynamic innovation and operations hubs, designed to expand McDonald's global talent base and in-house expertise. Our new office in Hyderabad will bring together knowledge across business, technology, analytics, and AI, accelerating our ability to deliver impactful solutions for the business and our customers across the globe.?




Position Summary:

Looking to hire a Data Engineer who has a good understanding of Data Product Lifecycle, Standards and Practices. Will be responsible for building scalable and efficient data solutions to support the Finance, Franchising & Development function with a specific focus on the Finance Analytics product and initiatives. As a Data Engineer, you will collaborate with data scientists, analysts, and other cross-functional teams to ensure the availability, reliability, and performance of data systems. Vital team member for initiatives to enable trusted financial data, supports decision-making, and partners with business and technology teams to align data capabilities with strategic finance objectives. Expertise in cloud computing platforms, technologies and data engineering best practices will play a crucial role within this domain.




Who we are looking for:

Primary Responsibilities:

Builds and maintains relevant and reliable data products that support Finance Analytics. Develops and implements new technology solutions as needed to ensure ongoing improvement with data reliability and observability in-view.
Participates in new software development and data engineering initiatives supporting Finance Analytics, ensuring timely and accurate delivery of financial data products.
Drive and implement best Data Engineering practices for pipeline development, data governance, data security and quality across financial datasets.
Implement security and privacy controls in data workflows, ensuring compliance with finance regulatory requirements.
Monitor, troubleshoot, and improve performance and reliability of existing finance data pipeline infrastructure.
Staying up to date with emerging data engineering technologies, trends, and best practices, and evaluating their applicability to meet evolving financial analytics needs.
Documenting data engineering processes, workflows, and solutions for knowledge sharing and future reference.
Partner and collaborate with data engineers, particularly in finance-centric data models and processing frameworks.
Ability and flexibility to coordinate and work with teams distributed across time zones, as needed.




Skill:

Applies technical data engineering expertise to develop reliable pipelines and improve data quality in support of finance and analytics initiatives
Bachelor's or master's degree in computer science or related engineering field and deep experience with Cloud computing
3+ years of professional experience in data engineering or related fields
Proficiency in Python, Java, or Scala for data processing and automation
Hands-on experience with data orchestration tools (e.g., Apache Airflow, Luigi) and big data ecosystems (e.g., Hadoop, Spark, NoSQL)
Good working knowledge of Data quality functions like cleansing, standardization, parsing, de-duplication, mapping, hierarchy management, etc.
Ability to perform extensive data analysis (comparing multiple datasets) using a variety of tools
Effective communication and stakeholder management skills to drive alignment and adoption of data engineering standards
Demonstrated experience in data management & data governance capabilities
Familiarity with data warehousing principles and best practices.
Excellent problem solver - use of data and technology to solve problems or answer complex data related questions
Excellent collaboration skills to work effectively in cross-functional teams




Work location: Hyderabad, India

Work pattern: Full time role.

Work mode: Hybrid.

Show more "
Data Engineer ( AM),KPMG India,"Bengaluru, Karnataka, India",Bengaluru,2025-08-12,https://in.linkedin.com/jobs/view/data-engineer-am-at-kpmg-india-4283366096?position=3&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=6UUrWNjJCUnnM6a9OaWCsQ%3D%3D,"We are looking for 7 years of IT experience and 5+ in Data Engineering.

Locations open - Bangalore and Mumbai

Key Responsibilities:

Design, build, and maintain data pipelines using Azure Data Factory (ADF), Databricks, and PySpark
Optimize and transform large-scale datasets using Spark-based processing
Integrate and orchestrate workflows across Azure services using Logic Apps and ADF pipelines
Write efficient SQL queries to handle large datasets and support reporting/analytics needs
Collaborate with data architects, analysts, and business stakeholders to gather requirements and deliver solutions
Ensure data quality, consistency, and compliance with data governance policies
Document architecture, pipelines, and ETL/ELT processes for knowledge sharing and maintenance

Required Skills:

Strong hands-on experience in Azure Data Engineering
Proficiency in Azure Data Factory (ADF) and Azure Databricks
Solid command of PySpark for big data processing
Advanced knowledge of SQL
Experience working in agile development environments

Good to Have:

Proficiency in Python for data transformation or automation
Experience with Logic Apps for workflow integration

Show more "
Data Engineer II [T500-19595],McDonald's,"Hyderabad, Telangana, India",Hyderabad,2025-08-07,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19595-at-mcdonald-s-4281487240?position=4&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=o%2FpRw%2FCu4mhtu%2FKRYOqCCg%3D%3D,"About McDonald’s:

One of the world’s largest employers with locations in more than 100 countries, McDonald’s Corporation has corporate opportunities in Hyderabad. Our global offices serve as dynamic innovation and operations hubs, designed to expand McDonald's global talent base and in-house expertise. Our new office in Hyderabad will bring together knowledge across business, technology, analytics, and AI, accelerating our ability to deliver impactful solutions for the business and our customers across the globe.




Position Summary:

Looking to hire a Data Engineer who has a good understanding of Data Product Lifecycle, Standards and Practices. Will be responsible for building scalable and efficient data solutions to support the Finance, Franchising & Development function with a specific focus on the Finance Analytics product and initiatives. As a Data Engineer, you will collaborate with data scientists, analysts, and other cross-functional teams to ensure the availability, reliability, and performance of data systems. Vital team member for initiatives to enable trusted financial data, supports decision-making, and partners with business and technology teams to align data capabilities with strategic finance objectives. Expertise in cloud computing platforms, technologies and data engineering best practices will play a crucial role within this domain.




Who we are looking for:

Primary Responsibilities:

Builds and maintains relevant and reliable data products that support Finance Analytics. Develops and implements new technology solutions as needed to ensure ongoing improvement with data reliability and observability in-view.
Participates in new software development and data engineering initiatives supporting Finance Analytics, ensuring timely and accurate delivery of financial data products.
Drive and implement best Data Engineering practices for pipeline development, data governance, data security and quality across financial datasets.
Implement security and privacy controls in data workflows, ensuring compliance with finance regulatory requirements.
Monitor, troubleshoot, and improve performance and reliability of existing finance data pipeline infrastructure.
Staying up to date with emerging data engineering technologies, trends, and best practices, and evaluating their applicability to meet evolving financial analytics needs.
Documenting data engineering processes, workflows, and solutions for knowledge sharing and future reference.
Partner and collaborate with data engineers, particularly in finance-centric data models and processing frameworks.
Ability and flexibility to coordinate and work with teams distributed across time zones, as needed.




Skill:

Applies technical data engineering expertise to develop reliable pipelines and improve data quality in support of finance and analytics initiatives
Bachelor's or master's degree in computer science or related engineering field and deep experience with Cloud computing
3+ years of professional experience in data engineering or related fields
Proficiency in Python, Java, or Scala for data processing and automation
Hands-on experience with data orchestration tools (e.g., Apache Airflow, Luigi) and big data ecosystems (e.g., Hadoop, Spark, NoSQL)
Good working knowledge of Data quality functions like cleansing, standardization, parsing, de-duplication, mapping, hierarchy management, etc.
Ability to perform extensive data analysis (comparing multiple datasets) using a variety of tools
Effective communication and stakeholder management skills to drive alignment and adoption of data engineering standards
Demonstrated experience in data management & data governance capabilities
Familiarity with data warehousing principles and best practices.
Excellent problem solver - use of data and technology to solve problems or answer complex data related questions
Excellent collaboration skills to work effectively in cross-functional teams




Work location: Hyderabad, India

Work pattern: Full time role.

Work mode: Hybrid.

Show more "
Data Engineer,MakeMyTrip,"Gurgaon, Haryana, India",Gurgaon,2025-07-29,https://in.linkedin.com/jobs/view/data-engineer-at-makemytrip-4273701706?position=5&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=ktYLKsWDNGsmCqPiIuVDUw%3D%3D,"Purpose And Impact

Our teams are driven by the purpose providing exceptional travel experience for our customers. We have continuously stayed ahead of the curve by developing our technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.

Currently We Are Solving The Below Challenging Problems


How do we leverage big data to provide a truly personalized experience to each of our users?
How do we leverage AI to innovate our products and deliver best in class end-to-end experience to all our users?
How to bring the next 100 million users to our platform?


If this excites you, join us, for a rewarding, fulfilling and enriching career.

What You’ll Be Doing


Accurately estimate and implement machine learning models.
Build pipelines for feature engineering by integrating data from different data sources.
You’ll meticulously develop and deploy production data pipelines (batch + real time)
Architect and design scalable data services that are consumed by millions of users.
Skillful implement performance engineering of big data systems.


What You’ll Bring To The Table


You’ll bring the compulsory and essential experience of working with distributed systems software development.
You’ll bring demonstrated experience of production experience in big data infrastructure and data modeling.
You’ll bring critical experience performance optimization for both data loading and data retrieval.
Know-how of Spark/Kafka.
Invaluable knowledge in AWS Deployment, Docker and Kubernetes.
Show more "
"Data Engineer, Python and SQL, Associate",BlackRock,"Gurgaon, Haryana, India",Gurgaon,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-python-and-sql-associate-at-blackrock-4258079627?position=6&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=4VhyNKrxOVeGTXRC3Q0Y8A%3D%3D,"About This Role

Aladdin Engineering is seeking a talented, hands-on Data Engineer to join its Regulatory Tech team. The Regulatory Tech team provides a comprehensive surveillance solution for Compliance that helps the firm protect itself against market manipulation, fraud and other financial related misconducts. Our product is widely used in the firm and is going through a series of feature buildouts so that it can be offered to external clients. We are facing a lot of potential and exciting times ahead.

As a team, we nurture and develop a culture that is:


Curious: We like to learn new things and have a healthy disrespect for the status quo
Brave: We are willing to get outside your comfort zone
Passionate: We feel personal ownership of your work, and strive to be better
Open: We value and respect other's opinions
Innovative: We conceptualize, design and implement new capabilities to ensure that Aladdin remains the best platform.


We are seeking an ambitious professional having strong technical experience in data engineering. You have a solid understanding of the software development lifecycle and enjoy working in a team of engineers. The ideal candidate shows aptitude to evaluate and incorporate new technologies. You thrive in a work environment that requires creative problem-solving skills, independent self-direction, open communication and attention to details. You are a self-starter, comfortable with ambiguity and working in a fast-paced, ever-changing environment. You are passionate about bringing value to clients.

As Member Of The Regulatory Tech Team, You Will


Work with engineers, project managers, technical leads, business owners and analysts throughout the whole SDLC
Design and implement new features in our core product’s data platform and suspicious activity identifying mechanism
Be brave enough to come up with ideas to improve resiliency, stability and performance of our platform
Participate in setting coding standards and guidelines, identify and document standard methodologies


Desired Skills And Experience


3+ years of hands-on experience with Python and SQL
Experience with Snowflake database
Experience with Airflow
Thorough knowledge of GIT, CI/CD and unit/end-to-end testing
Interest in data engineering
Solid written and verbal communication skills


Nice To Have


Experience with DBT, Great Expectations frameworks
Experience with Big Data technologies (Spark, Sqoop, HDFS, YARN)
Experience with Agile development


Our Benefits

To help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.

Our hybrid work model

BlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.

About BlackRock

At BlackRock, we are all connected by one mission: to help more and more people experience financial well-being. Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.

This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.

For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrock

BlackRock is proud to be an Equal Opportunity Employer. We evaluate qualified applicants without regard to age, disability, family status, gender identity, race, religion, sex, sexual orientation and other protected attributes at law.
Show more "
Python Data Engineer,Infosys,"Gurgaon, Haryana, India",Gurgaon,2025-08-01,https://in.linkedin.com/jobs/view/python-data-engineer-at-infosys-4273720276?position=7&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=nSmjSzhQ4%2BBYLwrYvqevPA%3D%3D,"Primary skills:Technology->Machine Learning->Python


A day in the life of an Infoscion


As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction.
You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain.
You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews.
You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes.
You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Show more "
Data Engineer III [T500-18704],McDonald's,"Hyderabad, Telangana, India",Hyderabad,2025-07-15,https://in.linkedin.com/jobs/view/data-engineer-iii-t500-18704-at-mcdonald-s-4253097595?position=8&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=IVOOjzqqjmYfC76p8oL4TQ%3D%3D,"About McDonald’s:

One of the world’s largest employers with locations in more than 100 countries, McDonald’s Corporation has corporate opportunities in Hyderabad. Our global offices serve as dynamic innovation and operations hubs, designed to expand McDonald's global talent base and in-house expertise. Our new office in Hyderabad will bring together knowledge across business, technology, analytics, and AI, accelerating our ability to deliver impactful solutions for the business and our customers across the globe.




Position Summary:

Looking to hire a Data Engineer at the G4 level who has a deep understanding of Data Product Lifecycle, Standards and Practices. Will be responsible for building scalable and efficient data solutions to support the Brand Marketing / Menu function with a specific focus on the Menu Data product and initiatives. As a Data Engineer, you will collaborate with data scientists, analysts, and other cross-functional teams to ensure the availability, reliability, and performance of data systems. Leads initiatives to enable trusted Menu data, supports decision-making, and partners with business and technology teams to deliver scalable data solutions that drive insights into menu performance, customer preferences, and marketing effectiveness. Expertise in cloud computing platforms, technologies and data engineering best practices will play a crucial role within this domain.




Who we’re looking for:

Primary Responsibilities:

Builds and maintains relevant and reliable Menu data products that support menu and marketing Analytics. Develops and implements new technology solutions as needed to ensure ongoing improvement with data reliability and observability in-view.
Participates in new software development engineering and Lead data engineering initiatives supporting Product Mix Analytics, ensuring timely and accurate delivery of marketing and menu-related products.
Work closely with the Product owner and help to define business rules that determines the quality of Menu datasets.
Drive and implement best practices for pipeline development, data governance, data security and quality across marketing and menu-related datasets.
Ensure scalability, maintainability, and quality of data systems powering menu item tracking, promotion data, and marketing analytics.
Staying up to date with emerging data engineering technologies, trends, and best practices, and evaluating their applicability to meet evolving Product Mix analytics needs.
Documenting data engineering processes, workflows, and solutions for knowledge sharing and future reference.
Mentor and coach junior data engineers, particularly in areas related to menu item tracking, promotion data, and marketing analytics.
Ability and flexibility to coordinate and work with teams distributed across time zones, as needed




Skill:

Leads teams to drive scalable data engineering practices and technical excellence within the Menu Data ecosystem.
Bachelor's or master's degree in computer science or related engineering field and deep experience with Cloud computing
5+ years of professional experience in data engineering or related fields
Proficiency in Python, Java, or Scala for data processing and automation
Hands-on experience with data orchestration tools (e.g., Apache Airflow, Luigi) and big data ecosystems (e.g., Hadoop, Spark, NoSQL)
Expert knowledge of Data quality functions like cleansing, standardization, parsing, de-duplication, mapping, hierarchy management, etc.
Ability to perform extensive data analysis (comparing multiple datasets) using a variety of tools
Proven ability to mentor team members and lead technical initiatives across multiple workstreams
Effective communication and stakeholder management skills to drive alignment and adoption of data engineering standards
Demonstrated experience in data management & data governance capabilities
Familiarity with data warehousing principles and best practices.
Excellent problem solver - use of data and technology to solve problems or answer complex data related questions
Excellent collaboration skills to work effectively in cross-functional teams.

Work location: Hyderabad, India

Work pattern: Full time role.

Work mode: Hybrid.

Show more "
Software Engineer (Backend 3-5yrs),PhonePe,"Bengaluru, Karnataka, India",Bengaluru,2025-07-31,https://in.linkedin.com/jobs/view/software-engineer-backend-3-5yrs-at-phonepe-4250613909?position=10&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=cWJpIiVoo%2FhJYUM9RSqtYA%3D%3D,"About PhonePe Limited:

Headquartered in India, its flagship product, the PhonePe digital payments app, was launched in Aug 2016. As of April 2025, PhonePe has over 60 Crore (600 Million) registered users and a digital payments acceptance network spread across over 4 Crore (40+ million) merchants. PhonePe also processes over 33 Crore (330+ Million) transactions daily with an Annualized Total Payment Value (TPV) of over INR 150 lakh crore.

PhonePe’s portfolio of businesses includes the distribution of financial products (Insurance, Lending, and Wealth) as well as new consumer tech businesses (Pincode - hyperlocal e-commerce and Indus AppStore Localized App Store for the Android ecosystem) in India, which are aligned with the company’s vision to offer every Indian an equal opportunity to accelerate their progress by unlocking the flow of money and access to services.

Culture:

At PhonePe, we go the extra mile to make sure you can bring your best self to work, Everyday!. And that starts with creating the right environment for you. We empower people and trust them to do the right thing. Here, you own your work from start to finish, right from day one. PhonePe-rs solve complex problems and execute quickly; often building frameworks from scratch. If you’re excited by the idea of building platforms that touch millions, ideating with some of the best minds in the country and executing on your dreams with purpose and speed, join us!

As a Software Engineer:


You will build Robust and Scalable web-based applications.
Build abstractions and contracts with separation of concerns for a larger scope.
Drive problem-solving skills for high-level business and technical problems.
Do high-level design with guidance; Functional modeling, break-down of a module.
Do incremental changes to architecture: impact analysis of the same.
Do performance tuning and improvements in large scale distributed systems
Work closely with Product Manager to derive capability view from features/solutions, Lead execution of medium-sized projects
Work with broader stakeholders to track the impact of projects/features and proactively iterate to improve them


As a Software Engineer, you must have:


Extensive and expert programming experience in at least one general programming language (e.g. Java, C, C++) & tech stack to write maintainable, scalable, unit-tested code.
Experience with multi-threading and concurrency programming.
Experience in building highly scalable business applications, which involve implementing large complex business flows and dealing with a huge amount of data.
Extensive experience in object-oriented design skills, knowledge of design patterns, and huge passion and ability to design intuitive module and class-level interfaces.
Excellent coding skills – should be able to convert the design into code fluently.
Knowledge of Test Driven Development.
Good understanding of databases (e.g. MySQL) and NoSQL (e.g. HBase, Elasticsearch, Aerospike, etc).
Experience with full life cycle development in any programming language.
Worked in a startups environment with high levels of ownership and commitment.
BTech, MTech, or Ph.D. in Computer Science or related technical discipline (or equivalent).
3-5 years of experience in the art of writing code and solving problems on a Large Scale.


PhonePe Full Time Employee Benefits (Not applicable for Intern or Contract Roles)


Insurance Benefits - Medical Insurance, Critical Illness Insurance, Accidental Insurance, Life Insurance
Wellness Program - Employee Assistance Program, Onsite Medical Center, Emergency Support System
Parental Support - Maternity Benefit, Paternity Benefit Program, Adoption Assistance Program, Day-care Support Program
Mobility Benefits - Relocation benefits, Transfer Support Policy, Travel Policy
Retirement Benefits - Employee PF Contribution, Flexible PF Contribution, Gratuity, NPS, Leave Encashment
Other Benefits - Higher Education Assistance, Car Lease, Salary Advance Policy


Our inclusive culture promotes individual expression, creativity, innovation, and achievement and in turn helps us better understand and serve our customers. We see ourselves as a place for intellectual curiosity, ideas and debates, where diverse perspectives lead to deeper understanding and better quality results. PhonePe is an equal opportunity employer and is committed to treating all its employees and job applicants equally; regardless of gender, sexual preference, religion, race, color or disability. If you have a disability or special need that requires assistance or reasonable accommodation, during the application and hiring process, including support for the interview or onboarding process, please fill out this form.

Read more about PhonePe on our blog.

Life at PhonePe

PhonePe in the news
Show more "
ICICI Securities - Data Engineer - Python/SQL/ETL,ICICIDirect,"Navi Mumbai, Maharashtra, India",Navi Mumbai,2025-05-21,https://in.linkedin.com/jobs/view/icici-securities-data-engineer-python-sql-etl-at-icicidirect-4233880080?position=11&pageNum=0&refId=0MCi57ktfUkVWGLP%2Fedybg%3D%3D&trackingId=4O5Uvz4U8LJjSkQVwwnczg%3D%3D,"Job Responsibilities


To work on Data Analytics to solve various business use cases.
Design and implement data pipelines to extract data from various sources (databases, flat files, APIs, streaming data, etc.
Develop efficient ETL processes using tools like Apache Spark, Apache Sqoop, Python/SQL, Pyspark,.
Good to have expertise/ knowledge in Apache Iceberg, Apace Ni-fi/ Apache Flink and Apache Kafka.
Basic Understanding of Data Pipeline design using PL/SQL jobs.
Provide seamless data Availability for data analysts, data scientists, and other stakeholders.
Develop various Business Requirements leveraging SQL and Python.
Stay updated with the latest industry trends and advancements in data analytics and AI, Data Lake, Delta Lake Experience :
Over all 6 -12 years of experience in Data Engineering & Data Analytics.
Hands-on experience in coding with Python and SQL.
Experience in building ETL, ELT Pipelines using Python.
Strong expertise in Hadoop Ecosystem (Hive, Impala, Cloudera), Spark, Sqoop, Delta Lake, Data warehouse Concepts, RDBMS System, No SQL Databases, Apache Tools like Ni-fi, Kafka etc.
Experience in Cloudera data platform is Qualification :
Bachelor's or Masters degree in Computer Science, IT or any Engineering field.


(ref:hirist.tech)
Show more "
