title,company,location,date,link
Data Engineer,BOX8,India,2025-05-30,https://in.linkedin.com/jobs/view/data-engineer-at-box8-4240914373?position=1&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=YT%2FPYCmraH6rnLaxjmQlNw%3D%3D
Data Engineer II [T500-19642],McDonald's,India,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19642-at-mcdonald-s-4282147859?position=2&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=35J0AxGaO0KFhBLF5lkF9A%3D%3D
Data Engineer II [T500-19595],McDonald's,India,2025-08-07,https://in.linkedin.com/jobs/view/data-engineer-ii-t500-19595-at-mcdonald-s-4281487240?position=3&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=8YEyBM98dzZNfSBX2dwDIQ%3D%3D
Data Engineer ( AM),KPMG India,India,2025-08-12,https://in.linkedin.com/jobs/view/data-engineer-am-at-kpmg-india-4283366096?position=4&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=jS3veNh5meDnhH%2Fg76YbUQ%3D%3D
Python Data Engineer,Infosys,India,2025-08-01,https://in.linkedin.com/jobs/view/python-data-engineer-at-infosys-4273720276?position=6&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=reyeEM7sI%2BSZrpVPypWtzA%3D%3D
"Data Engineer, Python and SQL, Associate",BlackRock,India,2025-08-08,https://in.linkedin.com/jobs/view/data-engineer-python-and-sql-associate-at-blackrock-4258079627?position=7&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=GGZ598lUhz%2BgHXcpe97YHg%3D%3D
Software Engineer (Backend 3-5yrs),PhonePe,India,2025-07-31,https://in.linkedin.com/jobs/view/software-engineer-backend-3-5yrs-at-phonepe-4250613909?position=8&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=7oH%2FKCyL5EIZAnH1aPpTOA%3D%3D
Data Engineer,PwC India,India,2025-07-28,https://in.linkedin.com/jobs/view/data-engineer-at-pwc-india-4273215026?position=9&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=Hd6hmFPZBhBs6LsL4WuMKw%3D%3D
ICICI Securities - Data Engineer - Python/SQL/ETL,ICICIDirect,India,2025-05-21,https://in.linkedin.com/jobs/view/icici-securities-data-engineer-python-sql-etl-at-icicidirect-4233880080?position=10&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=eizKAXVQwjwsyKLuYYh51A%3D%3D
Data Engineer I,Amazon,India,2025-07-29,https://in.linkedin.com/jobs/view/data-engineer-i-at-amazon-4219902264?position=14&pageNum=0&refId=OUCLYMh066dOYl%2Bth2syFQ%3D%3D&trackingId=pXvgylAXnGsnWbr8LdjanQ%3D%3D
